"Symbol","Name","IPO date","Market cap","Industry","Momentum factor 10","Momentum factor 200","Last Close Price","Shares outstanding","Average trading volume","% traded","Action"
"LCID","Lucid Group, Inc.","09/18/2020","$42,699,236,067","Auto Manufacturers","1.08","1.11","27.02","1,618,621,534","26,665,870","1.65%","Analyze"
"DKNG","DraftKings Inc. - Class A","07/25/2019","$19,660,787,250","Gambling","0.99","0.87","47.83","403,298,200","12,270,710","3.04%","Analyze"
"SOFI","SoFi Technologies, Inc.","11/30/2020","$15,862,068,547","Credit Services","0.95","1.06","19.25","794,692,813","26,966,375","3.39%","Analyze"
"CLVT","Clarivate Plc","10/29/2018","$14,458,994,570","Information Technology Services","1.00","0.86","22.18","642,336,498","3,129,796","0.49%","Analyze"
"OPEN","Opendoor Technologies Inc","06/18/2020","$14,360,227,503","Real Estate Services","1.00","1.15","23.87","604,641,158","10,454,126","1.73%","Analyze"
"ARVL","Arrival","02/04/2020","$9,424,352,070","Auto Manufacturers","1.02","0.86","15.25","620,431,341","1,184,500","0.19%","Analyze"
"VRT","Vertiv Holdings, LLC Class A","07/30/2018","$8,475,889,552","Electrical Equipment & Parts","1.04","1.04","24.69","352,427,840","2,681,237","0.76%","Analyze"
"WSC","Willscot Corp","11/30/2017","$7,676,906,451","Rental & Leasing Services","1.01","1.18","33.60","226,323,893","1,775,502","0.78%","Analyze"
"CHPT","ChargePoint Holdings, Inc.","09/16/2019","$7,368,235,778","Specialty Retail","1.06","0.85","22.72","322,602,267","8,013,711","2.48%","Analyze"
"CCCS","CCC Intelligent Solutions Holdings Inc.","07/29/2021","$7,159,627,776","Software—Infrastructure","1.06","1.12","11.86","0","648,451","0.00%","Analyze"
"QS","QuantumScape Corporation Class A","11/23/2020","$6,654,539,394","Auto Parts","0.95","0.69","23.44","259,638,681","7,096,813","2.73%","Analyze"
"OWL","Blue Owl Capital Inc. Class A","12/14/2020","$6,101,005,087","Asset Management","1.02","1.39","17.02","357,201,703","1,023,326","0.29%","Analyze"
"MP","MP Materials Corp.","06/22/2020","$5,951,326,758","Other Industrial Metals & Mining","0.94","0.96","32.76","177,757,669","2,392,118","1.35%","Analyze"
"RKLB","Rocket Lab USA, Inc.","08/19/2021","$5,933,115,879","Aerospace & Defense","1.00","0.94","12.84","448,798,478","4,599,893","1.02%","Analyze"
"ROIV","Roivant Sciences Ltd.","12/08/2020","$5,906,604,753","Biotechnology","1.17","0.80","7.74","702,331,124","520,744","0.07%","Analyze"
"CERE","Cerevel Therapeutics Holdings, Inc.","07/30/2020","$5,665,857,800","Biotechnology","1.05","1.94","39.97","144,869,798","371,005","0.26%","Analyze"
"AMBP","Ardagh Metal Packaging S.A.","08/02/2021","$5,634,664,126","Packaging & Containers","0.98","0.90","9.54","603,283,097","830,848","0.14%","Analyze"
"JOBY","Joby Aviation, Inc.","08/06/2021","$5,477,263,652","Airports & Air Services","0.98","0.90","8.80","603,887,944","2,046,616","0.34%","Analyze"
"SPCE","Virgin Galactic Holdings, Inc.","09/29/2017","$5,044,884,817","Aerospace & Defense","0.91","0.59","18.24","257,260,827","15,172,727","5.90%","Analyze"
"ALIT","Alight, Inc. Class A","07/17/2020","$5,029,048,832","Software—Application","0.99","1.04","11.01","0","2,263,923","0.00%","Analyze"
"MTTR","Matterport, Inc. - Class A","02/02/2021","$4,587,500,511","Software—Application","0.96","1.18","18.36","241,956,778","2,578,412","1.07%","Analyze"
"NKLA","Nikola Corporation","06/11/2018","$4,317,071,463","Auto Manufacturers","0.96","0.74","10.59","398,253,825","7,323,647","1.84%","Analyze"
"RSI","Rush Street Interactive, Inc. Class A","04/23/2020","$4,205,650,751","Gambling","0.98","1.28","20.04","59,177,489","1,259,703","2.13%","Analyze"
"SKLZ","Skillz Inc. Class A","04/27/2020","$4,104,665,981","Electronic Gaming & Multimedia","1.13","0.59","11.09","334,115,276","16,937,493","5.07%","Analyze"
"LPRO","Open Lending Corp. - Class A","03/06/2018","$4,068,376,916","Information Technology Services","0.93","0.83","31.56","126,190,351","620,145","0.49%","Analyze"
"LAZR","Luminar Technologies, Inc.  - Class A","03/25/2019","$4,006,096,921","Software—Application","1.00","0.71","15.82","247,595,607","2,052,914","0.83%","Analyze"
"MGY","Magnolia Oil & Gas Corporation Class A","06/29/2017","$3,819,054,950","Oil & Gas E&P","1.02","1.56","21.34","173,988,836","2,315,705","1.33%","Analyze"
"SMPL","The Simply Good Foods Company","07/10/2017","$3,802,466,437","Packaged Foods","1.07","1.15","38.86","95,780,011","386,045","0.40%","Analyze"
"ETWO","E2open Parent Holdings, Inc. Class A","06/15/2020","$3,798,029,776","Software—Infrastructure","1.03","1.11","12.28","300,002,352","2,231,768","0.74%","Analyze"
"GENI","Genius Sports Limited","10/05/2020","$3,693,530,197","Internet Content & Information","0.98","0.96","17.93","199,112,140","1,250,979","0.63%","Analyze"
"SKIN","The Beauty Health Company - Class A","11/24/2020","$3,637,006,084","Household & Personal Products","0.97","1.54","25.91","133,419,152","2,377,878","1.78%","Analyze"
