"Symbol","Name","IPO date","Market cap","IPO book value","Last Close Price","Price over book %","Shares outstanding","Average trading volume","% traded","Action"
"MEKA","MELI Kaszek Pioneer Corp","09/29/2021","$339,549,000","10.00","13.12","31.20","25,900,000","226,986","0.88%","Analyze"
"BENE","Benessere Capital Acquisition Corp. - Class A","01/28/2021","$126,311,625","10.00","11.19","11.90","11,893,750","6,646,011","55.88%","Analyze"
"AGBA","AGBA Acquisition Limited","07/15/2019","$58,452,304","10.00","10.96","9.60","5,338,110","19,282","0.36%","Analyze"
"DTRT","DTRT Health Acquisition Corp. Class A","10/25/2021","$227,930,000","10.00","10.50","5.00","23,000,000","0","0.00%","Analyze"
"IPOD","Social Capital Hedosophia Holdings Corp. IV Class A","11/30/2020","$482,080,000","10.00","10.48","4.80","46,000,000","417,220","0.91%","Analyze"
"IPOF","Social Capital Hedosophia Holdings Corp. VI Class A","11/30/2020","$1,178,750,000","10.00","10.25","2.50","115,000,000","1,208,548","1.05%","Analyze"
"DBDR","Roman DBDR Tech Acquisition Corp. - Class A","11/19/2020","$236,422,760","10.00","10.21","2.10","23,156,000","301,506","1.30%","Analyze"
"GRCY","Greencity Acquisition Corporation","08/28/2020","$53,704,600","10.00","10.20","2.00","5,260,000","3,865","0.07%","Analyze"
"LEAP","Ribbit LEAP, Ltd. Class A","11/02/2020","$429,877,100","10.00","10.18","1.80","41,255,000","100,703","0.24%","Analyze"
"ADOC","Edoc Acquisition Corp. - Class A","12/10/2020","$97,164,180","10.00","10.16","1.60","9,554,000","7,906","0.08%","Analyze"
"BREZ","Breeze Holdings Acquisition Corp.","12/23/2020","$148,156,800","10.00","10.15","1.50","14,640,000","35,028","0.24%","Analyze"
"FSII","FS Development Corp. II - Class A","02/17/2021","$208,311,375","10.00","10.15","1.50","20,727,500","51,203","0.25%","Analyze"
"BRLI","Brilliant Acquisition Corporation","07/22/2020","$61,965,540","10.00","10.14","1.40","6,111,000","3,949","0.06%","Analyze"
"OTRA","OTR Acquisition Corp. - Class A","12/15/2020","$107,364,808","10.00","10.14","1.40","10,630,179","11,629","0.11%","Analyze"
"TVAC","Thayer Ventures Acquisition Corporation Class A","02/09/2021","$174,742,500","10.00","10.14","1.40","17,250,000","159,678","0.93%","Analyze"
"ZNTE","Zanite Acquisition Corp. - Class A","01/07/2021","$232,990,000","10.00","10.14","1.40","23,000,000","54,311","0.24%","Analyze"
"BTWN","Bridgetown Holdings Limited - Class A","12/07/2020","$600,348,452","10.00","10.13","1.30","59,499,351","591,219","0.99%","Analyze"
"THCA","Tuscan Holdings Corp. II","07/30/2019","$196,813,339","10.00","10.13","1.30","19,428,760","30,170","0.16%","Analyze"
"YSAC","Yellowstone Acquisition Company - Class A","12/08/2020","$137,484,859","10.00","10.13","1.30","13,598,898","27,048","0.20%","Analyze"
"LMACA","Liberty Media Acquisition Corporation Series A","03/15/2021","$583,625,000","10.00","10.12","1.20","57,500,000","174,540","0.30%","Analyze"
"PAIC","Petra Acquisition, Inc.","11/16/2020","$80,882,440","10.00","10.12","1.20","7,992,336","11,468","0.14%","Analyze"
"TINV","Tiga Acquisition Corp. Class A","01/14/2021","$279,312,000","10.00","10.12","1.20","27,600,000","28,931","0.10%","Analyze"
"BWAC","Better World Acquisition Corp.","12/28/2020","$162,828,324","10.00","10.11","1.10","16,105,670","46,100","0.29%","Analyze"
"KWAC","Kingswood Acquisition Corp. Class A","02/17/2021","$117,432,480","10.00","10.11","1.10","11,604,000","15,890","0.14%","Analyze"
"GLAQ","Globis Acquisition Corp.","02/05/2021","$151,411,380","10.00","10.10","1.00","15,050,833","599,983","3.99%","Analyze"
"REVE","Alpine Acquisition Corporation","10/21/2021","$138,875,008","10.00","10.10","1.00","0","585","0.00%","Analyze"
"AMAO","American Acquisition Opportunity Inc. Class A","04/29/2021","$135,214,450","10.00","10.09","0.90","13,481,002","482","0.00%","Analyze"
"DKDCA","Data Knights Acquisition Corp. - Class A","06/23/2021","$122,061,278","10.00","10.09","0.90","12,085,275","104,275","0.86%","Analyze"
"MAQC","Maquia Capital Acquisition Corporation - Class A","06/07/2021","$180,723,966","10.00","10.09","0.90","17,893,462","578,551","3.23%","Analyze"
"NLIT","Northern Lights Acquisition Corp. - Class A","08/18/2021","$115,575,000","10.00","10.08","0.80","11,500,000","22,420","0.20%","Analyze"
"ACBA","Ace Global Business Acquisition Limited","05/21/2021","$60,903,240","10.00","10.07","0.70","6,054,000","1,223","0.02%","Analyze"
"VCKA","Vickers Vantage Corp. I","03/03/2021","$173,017,500","10.00","10.07","0.70","17,250,000","10,893","0.06%","Analyze"
