"Symbol","Name","Market cap","Date Added","Proposed Merger","Last Close Price","Momentum factor 10","Momentum factor 200","Shares outstanding","Average trading volume","% traded","Action"
"KVSA","Khosla Ventures Acquisition Co. - Class A","$354,900,000","10/27/2021","On 6/9/2021 the company announced a proposed merger with Valo Health, the the technology company using human-centric data and artificial intelligence (AI) powered computation to transform the drug discovery and development process.technology company using human-centric data and artificial intelligence (AI) powered computation to transform the drug discovery and development process","9.99","1.00","0.99","35,490,000","218,206","0.61%","Analyze"
"DCRC","Decarbonization Plus Acquisition Corporation III - Class A","$380,915,000","10/26/2021","On 6/15/2021 the company announced a proposed merger with Solid Power, Inc., an industry-leading producer of all-solid-state batteries for electric vehicles.","10.60","1.03","1.05","35,500,000","1,022,842","2.88%","Analyze"
"ARYD","ARYA Sciences Acquisition Corp IV - Class A","$153,872,040","10/25/2021","On 9/29/2021 the company announced a proposed merger with Caritas Therapeutics, Inc, a next-generation genetic medicine company.","9.97","1.00","0.96","15,449,000","483,089","3.13%","Analyze"
"BRPM","B. Riley Principal 150 Merger Corp. Class A","$197,512,500","10/25/2021","On 10/25/2021 the company announced a pending merger with FaZe Clan Inc, a Leading Gaming, Lifestyle and Media Platform.","10.84","1.07","1.11","17,250,000","3,271,046","18.96%","Analyze"
"DDMX","DD3 Acquisition Corp. II - Class A","$128,313,900","10/25/2021","On 6/21/2021 the company announced a proposed merger with Codere Online , a leading online gaming and sports betting operator in Latin America.","9.95","1.00","1.00","12,870,000","21,276","0.17%","Analyze"
"GGPI","Gores Guggenheim, Inc. Class A","$840,000,000","10/25/2021","On 9/27/2021 the company announced a pending merger with Polestar Automotive, a global pure play, premium electric vehicle (“EV”) company based in Sweden.","10.35","1.02","1.04","80,000,000","2,433,707","3.04%","Analyze"
"SNII","Supernova Partners Acquisition Company II, Ltd. Class A","$349,485,000","10/25/2021","On 10/6/2021 the company announced a proposed merger with  Rigetti & Co., Inc. (“Rigetti”), a pioneer in full-stack quantum computing.","10.30","1.03","1.05","34,500,000","1,459,851","4.23%","Analyze"
"TMTS","Spartacus Acquisition Corporation - Class A","$206,200,000","10/25/2021","On 6/9/2021 the company announced a proposed merger with NextNav, a Leader in Next Generation GPS.","10.89","1.06","1.08","20,000,000","264,039","1.32%","Analyze"
"XPDI","Power & Digital Infrastructure Acquisition Corp. Class A","$431,250,000","10/25/2021","On 7/21/2021 the company announced a proposed merger with  Core Scientific Holding Co. , a leader in customizable infrastructure and software solutions to large scale customers for blockchain hosting and digital asset mining.","11.66","1.04","1.16","34,500,000","1,124,559","3.26%","Analyze"
"FTAA","FTAC Athena Acquisition Corp. Class A Ordinary Share","$255,060,400","10/22/2021","On 8/4/2021 the company announced a proposed merger with Pico, a leading provider of mission critical technology, data and analytic services for the financial markets community.","9.95","1.00","1.01","25,660,000","45,969","0.18%","Analyze"
